PERSON_ID,COURSE_CD,COURSE_TITLE,RESPONSIBLE_ORG_UNIT,RESEARCH_ORG_UNIT,TITLE,COURSE_ATTEMPT_STATUS,FEE_CAT,COURSE_TOTAL_EFTSU,CURRENT_EFTSU,RES_EFTSU_TO_DATE,HIGH_COST_LOW_COST,RFCD_1_DESC,RFCD_1_PRCNT,SEO_1_CODE,SEO_1_DESC,SEO_1_PRCNT
3031206,244AD,Doctor of Philosophy in Economics,FCY-BGL,FCY-BAG,Ms,DISCONTIN,INT-10,3,0.75,0.75,LOWCOST,FINANCIAL INSTITUTIONS (INCL. BANKING),100,710702,WASTE MANAGEMENT AND RECYCLING,100
3031410,921AA,Doctor of Philosophy in Government,FCY-BGL,FCY-BGL,Mr,DISCONTIN,DOM-13,3,0.5,1,LOWCOST,FOS NOT APPLICABLE,100,0,SEO CLASSIFICATION NOT SPECIFIED,100
3031609,251AA,Doctor of Philosophy in Environmental Design,FCY-AAD,FCY-AAD,Mr,COMPLETED,INT-09,3,0.5,4,LOWCOST,DESIGN STUDIES,100,671699,MANUFACTURED PRODUCTS NOT ELSEWHERE CLASSIFIED,100
3031826,851AA,Professional Doctorate in Business Administration (Research),FCY-BGL,FCY-BAG,Mr,DISCONTIN,INT-09,3,0.375,0.875,LOWCOST,TOURISM MANAGEMENT,100,710599,TOURISM NOT ELSEWHERE CLASSIFIED,100
3031826,853AA,Doctor of Philosophy in Management,FCY-BGL,FCY-BAG,Mr,COMPLETED,INT-09,3,0.5,2.125,LOWCOST,TOURISM MANAGEMENT,100,710599,TOURISM NOT ELSEWHERE CLASSIFIED,100
3031972,208AA,Doctor of Philosophy (Education),FCY-ETM,FCY-ETM,Ms,DISCONTIN,INT-12,3,0.5,0.5,LOWCOST,FOS NOT APPLICABLE,100,0,SEO CLASSIFICATION NOT SPECIFIED,100
3032204,851AA,Professional Doctorate in Business Administration (Research),FCY-BGL,FCY-BAG,Mr,DISCONTIN,DOM-09,3,0,0,LOWCOST,HUMAN RESOURCES MANAGEMENT,100,720403,MANAGEMENT,100
3032205,941AA,Doctor of Philosophy in Law,FCY-BGL,FCY-BGL,Mr,INTERMIT,DOM-09,3,0.25,4.25,LOWCOST,INTERNATIONAL LAW,100,780106,POLITICAL SCIENCE AND PUBLIC POLICY,100
3032206,859AA,Master of Business (Research),FCY-BGL,FCY-BGL,Ms,INACTIVE,DOM-09,2,0.5,1.75,LOWCOST,FOS NOT APPLICABLE,100,0,SEO CLASSIFICATION NOT SPECIFIED,100
3032238,851AA,Professional Doctorate in Business Administration (Research),FCY-BGL,FCY-BAG,Miss,DISCONTIN,INT-09,3,0.375,0.875,LOWCOST,MARKETING AND MARKET RESEARCH,100,780199,OTHER NON-ORIENTED RESEARCH,100
3032239,927AA,Master of Education (Research),FCY-ETM,FCY-EDU,Ms,DISCONTIN,DOM-12,2,0,0.25,LOWCOST,,,,,
3032327,254HC,Doctor of Philosophy,RESSERV,FCY-ETM,Miss,ENROLLED,DOM-14,3.5,0.5,2,HIGHCOST,BIOLOGICAL SCIENCES NOT ELSEWHERE CLASSIFIED,100,750504,LAW ENFORCEMENT,100
3032442,232AA,Doctor of Philosophy (Applied Science),FCY-ETM,IAE,Mrs,COMPLETED,INT-09,3,0.25,4.25,HIGHCOST,ENVIRONMENTAL MANAGEMENT AND REHABILITATION,100,771002,LAND AND WATER MANAGEMENT,100
3032464,196AA,Master of Industrial Design (Research),FCY-AAD,FCY-AAD,Mrs,DISCONTIN,DOM-13,2,0.25,1,LOWCOST,,,,,
3032464,254LC,Doctor of Philosophy,RESSERV,FCY-AAD,Mrs,ENROLLED,DOM-13,3.5,0.25,0.5,LOWCOST,DESIGN STUDIES NOT ELSEWHERE CLASSIFIED,100,740101,EARLY CHILDHOOD EDUCATION,100
3032928,180JA,Doctor of Philosophy in Health,FCY-HLT,FCY-HLT,Mrs,DISCONTIN,DOM-11,3,0.25,0.75,HIGHCOST,,,,,
